VIN (Vehicle Identification Number)(1-10),County,City,State,Postal Code,Model Year,Manufacturer,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDJX3AE9G,Thurston,Lacey,WA,98516,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,22,212070176,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012224
KNDPYDDH7S,Snohomish,Edmonds,WA,98026,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,21,275090455,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042003
7PDSGABA4P,Yakima,Yakima,WA,98908,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,277637818,POINT (-120.60199 46.59817),PACIFICORP,53077000401
5YJ3E1EB6K,Grant,Moses Lake,WA,98837,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,13,291001504,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011002
1FADP5EU1H,Kitsap,Bainbridge Island,WA,98110,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,23,350155564,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035090902
5YJSA1E29L,Thurston,Olympia,WA,98513,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,2,126156075,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067012331
1N4BZ0CP3H,King,Seattle,WA,98115,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,46,241245441,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002400
5YJ3E1EA7L,King,Seattle,WA,98106,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,34,111946796,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011401
1G1FZ6S05K,Kitsap,Poulsbo,WA,98370,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,23,278833432,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EB8K,Kitsap,Bainbridge Island,WA,98110,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,23,253678904,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035091001
5YJ3E1EA3J,King,Seattle,WA,98107,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36,211836327,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003302
5YJSA1E23J,Snohomish,Snohomish,WA,98296,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,44,202209689,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052120
2T3YL4DV5E,Snohomish,Everett,WA,98204,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,21,212053544,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041808
5YJ3E1EAXJ,King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,48,259258919,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022606
JTDKN3DP7D,Snohomish,Lynnwood,WA,98087,2013,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,21,233339074,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
5YJ3E1EA8J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,1,124400524,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
1N4AZ1CPXL,Snohomish,Bothell,WA,98021,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,1,123032542,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB8J,Snohomish,Lake Stevens,WA,98258,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,44,474639882,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
5YJ3E1EB5K,Whitman,Pullman,WA,99163,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,9,143806477,POINT (-117.18147 46.73015),AVISTA CORP,53075000300
7SAYGDEE6N,Kitsap,Poulsbo,WA,98370,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,195340414,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
1G1FZ6S0XK,Thurston,Olympia,WA,98513,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,22,8788384,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067011623
KNDCS3LF8P,Snohomish,Everett,WA,98203,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,38,249825327,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041100
5YJ3E1EA0K,Thurston,Olympia,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,22,270189531,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067011000
1C4JJXP65P,Stevens,Deer Park,WA,99006,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,7,281258092,POINT (-117.47154 47.95431),NO KNOWN ELECTRIC UTILITY SERVICE,53065951301
1N4AZ1BP0L,Thurston,Olympia,WA,98502,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,22,270084790,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
KNDCR3LF0P,Thurston,Lacey,WA,98503,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,22,223987746,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011626
5YJ3E1EB7J,Thurston,Lacey,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,22,274811176,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011625
1G1FZ6S08L,Thurston,Olympia,WA,98502,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,35,282088355,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
WBY1Z2C58F,Walla Walla,Walla Walla,WA,99362,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,16,142330212,POINT (-118.34261 46.07068),PACIFICORP,53071920600
JHMZC5F14K,Thurston,Lacey,WA,98516,2019,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,22,270001875,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012330
JN1AZ0CPXC,Kitsap,Bainbridge Island,WA,98110,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,23,276046074,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035090800
1G1FX6S07P,Yakima,Yakima,WA,98902,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,259683868,POINT (-120.52041 46.59751),PACIFICORP,53077000500
JTDKN3DP5D,Chelan,Leavenworth,WA,98826,2013,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,12,100281702,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960201
1N4AZ0CP5G,Kitsap,Silverdale,WA,98383,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,10005096,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091201
KNDPZDDH7S,Yakima,Yakima,WA,98902,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,14,283437318,POINT (-120.52041 46.59751),PACIFICORP,53077000500
1G1FX6S05H,Columbia,Dayton,WA,99328,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,16,123058715,POINT (-117.97577 46.32189),PACIFICORP,53013960200
7SAYGDEE6P,Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,231054232,POINT (-120.60199 46.59817),PACIFICORP,53077000401
WBA33AG08N,Walla Walla,Walla Walla,WA,99362,2022,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,16,211343121,POINT (-118.34261 46.07068),PACIFICORP,53071920902
5YJ3E1EB0J,King,Seattle,WA,98112,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,37,107336764,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
1FTVW1EV8P,Whitman,Pullman,WA,99163,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,9,230825864,POINT (-117.18147 46.73015),AVISTA CORP,53075000400
WB563CF07T,Snohomish,Snohomish,WA,98290,2026,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,291750833,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052401
5YJSA1E21G,King,Seattle,WA,98116,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,34,227333368,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009600
KNDPZDAH2P,Thurston,Lacey,WA,98513,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,22,233619046,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067011623
JTJCJMGA1T,Yakima,Yakima,WA,98908,2026,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,14,287386067,POINT (-120.60199 46.59817),PACIFICORP,53077002801
WBY7Z6C57J,King,Seattle,WA,98126,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,34,287402321,POINT (-122.36893 47.54701),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010702
1N4AZ0CP1F,King,Seattle,WA,98115,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,43,213707378,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600
1GYC3KML5T,Yakima,Union Gap,WA,98903,2026,CADILLAC,VISTIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,15,282610093,POINT (-120.71847 46.55029),PACIFICORP,53077001300
1N4AZ0CPXE,King,Issaquah,WA,98027,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,5,106880581,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
7SAYGDEE5P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,251626917,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJSA1E51N,Snohomish,Bothell,WA,98021,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,196692751,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
KM8JBDA20P,Yakima,Yakima,WA,98908,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,14,237636514,POINT (-120.60199 46.59817),PACIFICORP,53077000401
7SAYGDEE2R,Yakima,Parker,WA,98939,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,271731302,POINT (-120.4672 46.50345),PACIFICORP,53077940001
WBY1Z4C57E,Snohomish,Everett,WA,98201,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,38,240859160,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040500
KNDPZDDH0R,Thurston,Olympia,WA,98516,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,22,272280354,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012225
5YJ3E1EA6R,Yakima,Yakima,WA,98902,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,263299550,POINT (-120.52041 46.59751),PACIFICORP,53077000700
5YJSA1E40L,King,Seattle,WA,98107,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,337,43,4879283,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
KNDCE3LG4K,King,Seattle,WA,98118,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,37,8859847,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010200
KNDC3DLC6N,Yakima,Yakima,WA,98903,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,202951640,POINT (-120.71847 46.55029),PACIFICORP,53077002803
KNDJP3AE8H,Kitsap,Bremerton,WA,98311,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,23,350084948,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091500
1G1FW6S03H,Kittitas,Ellensburg,WA,98926,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,13,143122752,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,53037975203
1N4AZ0CP8F,Snohomish,Edmonds,WA,98020,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,32,100416935,POINT (-122.37695 47.81113),PUGET SOUND ENERGY INC,53061050502
5YJ3E1EB9L,Chelan,Wenatchee,WA,98801,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,12,195104465,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007960801
5YJ3E1EA0L,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,23,139728221,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035090800
5YJSA1E21H,Thurston,Olympia,WA,98513,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,2,138464049,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067012332
WA1E2AFY9P,Thurston,Olympia,WA,98513,2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,20,224703321,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067012610
1N4AZ1CP2K,King,Kenmore,WA,98028,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,46,476016985,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102
ZACPDFDW5R,Thurston,Olympia,WA,98506,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,22,267999840,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211
JTDKAMFP3M,Yakima,Yakima,WA,98908,2021,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,14,276443569,POINT (-120.60199 46.59817),PACIFICORP,53077001000
KNDAEFS57R,Snohomish,Lynnwood,WA,98087,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,272626847,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
7FCTGBAA2R,Snohomish,Mukilteo,WA,98275,2024,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,273624060,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061041301
JM3KKBHA1R,Okanogan,Omak,WA,98841,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,7,256225098,POINT (-119.52724 48.41078),PUD NO 1 OF OKANOGAN COUNTY,53047970602
5YJSA1E2XG,Snohomish,Snohomish,WA,98290,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,44,171866313,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052502
1N4AZ0CP8F,King,Seattle,WA,98115,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,46,205211275,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
5YJ3E1EBXL,Grant,Moses Lake,WA,98837,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,13,4836086,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011002
5YJ3E1EB0L,Chelan,Wenatchee,WA,98801,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,12,112842614,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007961001
1N4AZ1CP0L,Kitsap,Bremerton,WA,98311,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,23,104937591,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091701
1N4AZ0CPXF,King,Seattle,WA,98117,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,36,118517010,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100
WDDVP9ABXH,Yakima,Union Gap,WA,98903,2017,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,15,144336090,POINT (-120.71847 46.55029),PACIFICORP,53077001400
KNDCC3LG8L,Skagit,La Conner,WA,98257,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,10,136978453,POINT (-122.49724 48.38874),PUGET SOUND ENERGY INC,53057940802
1N4AZ0CP4F,Kitsap,Poulsbo,WA,98370,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,194792783,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
1G1RH6E47D,Thurston,Olympia,WA,98516,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,22,263340724,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012221
1G1FY6S05K,Walla Walla,Walla Walla,WA,99362,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,16,261627054,POINT (-118.34261 46.07068),PACIFICORP,53071920801
JTJBDADB9T,Snohomish,Mukilteo,WA,98275,2026,LEXUS,RZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,289597227,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042001
5UX43EU01T,Snohomish,Edmonds,WA,98026,2026,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,21,290772940,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
1N4BZ1CP9K,Spokane,Cheney,WA,99004,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,6,276180789,POINT (-117.57445 47.48928),CITY OF CHENEY - (WA),53063014001
WA1AAAGE4M,King,Kent,WA,98030,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,33,288013645,POINT (-122.19976 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029701
5YJXCAE27L,Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,1,124714187,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052114
1N4BZ0CP0G,Kitsap,Bainbridge Island,WA,98110,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,110039380,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035091002
3FA6P0PU8H,Skagit,Mount Vernon,WA,98273,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,40,168402608,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
5YJ3E1EB8J,Snohomish,Everett,WA,98204,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,38,121112757,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041906
2C4RC1S71P,Snohomish,Lynnwood,WA,98037,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,32,249985739,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051802
5YJSA1E25G,Snohomish,Snohomish,WA,98290,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,39,1856662,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052302
KNDCE3LG2K,Snohomish,Everett,WA,98204,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,21,5797200,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041905
5YJ3E1EA1J,Chelan,Wenatchee,WA,98801,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,12,125956176,POINT (-120.30521 47.41493),PUD NO 1 OF CHELAN COUNTY,53007960804
1C4RJXN67R,Whitman,Pullman,WA,99163,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,9,272764719,POINT (-117.18147 46.73015),AVISTA CORP,53075000201
5UXTA6C07P,King,Seattle,WA,98117,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,36,225996529,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003000
WMWXP3C05M,Snohomish,Everett,WA,98201,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,38,123225651,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040100
1FADP5CU3E,Thurston,Olympia,WA,98506,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,22,129798854,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1N4AZ0CP9F,Snohomish,Bothell,WA,98021,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,1,146550302,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051917
5YJ3E1EB4J,Kittitas,Cle Elum,WA,98922,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,13,233729688,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,53037975201
1C4JJXP61M,Kitsap,Poulsbo,WA,98370,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,23,172819517,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090501
JN1AZ0CPXB,Snohomish,Everett,WA,98204,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,38,169709214,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041907
7PDSGCBA6T,Skagit,Burlington,WA,98233,2026,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,10,285299871,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951900
1G1FZ6S0XL,Kittitas,Cle Elum,WA,98922,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,13,253975109,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,53037975201
5YJSA1E18G,Thurston,Olympia,WA,98513,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,2,111709230,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EC7L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,21,284055355,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061051803
5YJSA1E27F,Kittitas,Ronald,WA,98940,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,13,104654952,POINT (-121.02627 47.23781),PUGET SOUND ENERGY INC,53037975101
1G1FX6S07H,Snohomish,Snohomish,WA,98290,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,44,122395535,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052401
5YJYGDEE2L,Snohomish,Lynnwood,WA,98037,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,32,127126870,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051802
1N4AZ0CP5D,Snohomish,Everett,WA,98208,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,21,139526880,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041813
